Abbreviation,Expansion
hru,how are you
wru,where are you
gm,good morning
ttyl,talk to you later
brb,be right back
omw,on my way
omg,oh my god
idk,i don't know
btw,by the way
pls,please
msg,message
asap,as soon as possible
fyi,for your information
lol,laugh out loud
ur,your
u,you
r,are
k,okay
txt,text
pic,picture
vid,video
nvm,never mind
lmk,let me know
tbh,to be honest
smh,shaking my head
jk,just kidding
ikr,i know right
irl,in real life
tldr,too long; didn't read
bc,because
bff,best friends forever
gn,good night
hbd,happy birthday
