Abbreviation,Expansion
fci,food corporation of india
fcp,factory cost price
un,united nations
who,world health organization
api,application programming interface
db,database
ui,user interface
ux,user experience
ai,artificial intelligence
ml,machine learning
nlp,natural language processing
ceo,chief executive officer
cto,chief technology officer
hr,human resources
it,information technology
pr,public relations
rd,research and development
roi,return on investment
b2b,business to business
b2c,business to consumer
crm,customer relationship management
erp,enterprise resource planning
kpi,key performance indicator
sla,service level agreement
sow,statement of work
